B,k,runs,avg_suffix_mean,cache_hit_mean,verify_ms_mean,decode_throughput_mean,official_throughput_mean,draft_total_ms_mean,draft_detail_total_ms_mean,draft_decode_tree_ms_mean,draft_detail_avg_step_ms_mean,draft_build_tree_ms_mean,draft_service_ms_mean
24,5,3,3.2373921000309065,0.72781525529735,19.961598699408142,107.44166241534298,69.51117799236164,27.84623433333333,13.393190666666667,16.205112333333336,2.678793,4.751428333333333,6.748091333333334
36,5,3,3.2403265107212476,0.7603801169590643,19.72904916012843,112.60513935345871,73.43875786079015,27.594406666666668,14.571921666666666,17.08738133333333,2.9143586666666668,4.413013666666667,5.968456
48,5,3,3.2362482751823376,0.8086980090676129,19.921353788786266,108.81471623976567,72.40682365233708,28.235463,14.970427666666666,17.84736633333333,2.994153666666667,4.611883333333334,5.632951666666667
64,5,3,3.236305875772168,0.8377711707767888,19.718691923174394,108.58000961267545,74.8023897223856,28.249397666666667,15.623266666666666,18.441907666666665,3.1244226666666663,4.4660866666666665,5.2097766666666665
16,6,3,3.3467000835421885,0.6186299081035923,19.999074835136515,95.35322971961006,68.0437458262287,33.23332733333333,16.898621666666667,19.936276,2.8164243333333334,4.606378333333333,8.546501666666666
24,6,3,3.334521687462864,0.7130362448009507,20.205006829941453,100.00493432627631,66.69394351792785,32.262357,16.163786,19.457628333333332,2.693948666666667,5.04615,7.573941333333333
36,6,3,3.3467000835421885,0.7412280701754387,19.97469524055822,99.5819723612496,67.8647684349489,32.556142,17.58139733333333,20.714551,2.930146,4.697312,7.003026333333334
48,6,3,3.361904761904762,0.7743024227234754,20.002162232886107,96.81080863481843,69.56250427367644,32.86566033333333,18.006578666666666,21.333795,3.001431666666667,4.691074,6.657978
64,6,3,3.361904761904762,0.8254970760233918,20.033206267635602,97.28147029509621,68.40274751903704,33.491475333333334,18.796940000000003,22.428913333333337,3.132915333333333,4.779737333333333,6.0989493333333336
16,7,3,3.4816818340410425,0.5974635213600207,20.39746970979543,87.21748121653077,62.996808849686666,38.611734,19.836895000000002,23.419580999999997,2.8338653333333332,4.955616,10.069454666666667
24,7,3,3.452377027879868,0.6918595240746926,20.195196872872955,91.57606444792832,66.49479401554497,35.99975033333333,18.773260333333333,22.43038633333333,2.682017333333333,5.049878666666667,8.369701333333333
36,7,3,3.4816818340410425,0.715624300099186,20.222662389792855,91.0092888639813,67.89348262102676,36.86656933333333,20.527485333333335,23.986917333333334,2.9328463333333334,4.658730333333334,8.063859333333333
48,7,3,3.4816818340410425,0.7592356435583224,20.21413119935993,89.57628722678801,66.30370291935493,37.027973,20.97419533333333,24.645577666666668,2.9964213333333336,4.720324000000001,7.513983
64,7,3,3.4816818340410425,0.8074749026042785,20.23078394848034,88.12772334929473,64.70004857827553,37.368695333333335,21.940531000000004,25.737692666666664,3.1342866666666667,4.7378263333333335,6.742754333333334
16,8,3,3.5852315539326494,0.5631484379528199,20.326140044253915,80.12181106958597,54.51015661495736,43.78509966666667,22.718795,26.77174766666667,2.840002666666667,5.141152666666667,11.721435999999999
24,8,3,3.571918957284811,0.6656407278358498,20.45357598468122,85.5860325323362,55.9550505993914,40.566473,21.570069333333333,25.657632666666668,2.6964416666666664,5.103170333333334,9.665977333333332
36,8,3,3.6028036531948895,0.6935886926497256,20.22406904786423,85.99308192598313,58.332460568973175,40.564645,23.350329666666667,26.964471000000003,2.918746666666667,4.599762666666667,8.869630333333333
48,8,3,3.6028036531948895,0.7294756191469807,20.469408733812124,84.88448455368147,58.12154796991316,41.73485333333334,24.061269,28.225583999999998,3.007799,4.7889333333333335,8.573825333333334
64,8,3,3.5987089201877933,0.7742370892018778,20.305627384201184,80.13720588370717,55.16988018312579,41.798016,24.987131,29.155910333333335,3.1232920000000006,4.800726666666667,7.699066999999999
16,9,3,3.647470403992143,0.48743961352657,20.303299282319767,73.76460131291043,51.20847476110625,48.10813066666666,25.393896666666667,29.354500666666667,2.8217056666666664,4.947703,13.677938
24,9,3,3.615317170558359,0.6582743572054229,20.530422687030185,78.91215335396898,53.44795996098744,44.77300333333333,24.218446666666665,28.652494,2.691276333333333,5.300158666666667,10.681068666666667
36,9,3,3.6841650818632914,0.6740059457450762,20.44778797432432,78.35576010752284,55.048729271829565,46.522203999999995,26.606605333333334,31.163053666666666,2.956458,4.944208000000001,10.267952
48,9,3,3.7033339434377726,0.7104388869476476,20.408263138758624,80.04349864152634,54.66064350398411,45.667936,26.887396999999996,31.21384,2.9872006666666664,4.853756,9.465221333333334
64,9,3,3.6655518394648827,0.7636566332218506,20.400962911910316,78.64732821347519,53.936962305386054,45.606124,28.024669333333332,32.329214,3.113550666666667,4.6642459999999994,8.473333
16,10,3,3.727536793727579,0.4600505846450038,20.531018893872567,67.18610368601122,44.401018496178246,53.521775999999996,28.347329000000002,32.751255,2.8347219999999997,5.142634666666667,15.500819666666667
24,10,3,3.716768990008427,0.6078849163356206,20.43408208882742,74.73441823797314,52.754593304283816,48.84527566666666,26.69657533333333,31.108970666666664,2.669613,5.155418333333333,12.450483666666665
36,10,3,3.767643950252646,0.6593705811097116,20.420634618849565,72.7099350584631,51.61552371971148,50.976142333333335,29.557540666666668,34.461891,2.955750333333333,4.9645426666666665,11.413916666666667
48,10,3,3.7886375399962358,0.6950698757763975,20.506426992954427,72.68014341137282,51.09626790530795,50.58211666666667,30.09023433333333,34.94307233333333,3.008862666666667,4.994116666666667,10.511561666666665
64,10,3,3.782567623071055,0.7393338418510043,20.41476556507898,71.07147806974226,51.4658346008224,51.32646666666667,31.319486333333334,36.49662133333334,3.1318213333333333,4.941120333333333,9.743068333333333
16,11,3,3.807551096246748,0.46675585284280935,20.664993323585062,65.03656047018364,43.57640835208923,58.301922999999995,31.13534866666667,35.966415000000005,2.830382,5.485005666666667,16.711290333333334
24,11,3,3.8113400015876793,0.5991902834008097,20.64287461072941,70.03561143506086,46.51195477497873,53.392214333333335,29.521265,34.44820766666667,2.6841446666666666,5.360404666666667,13.447157666666667
36,11,3,3.7569483656440177,0.6788067005458309,20.449935619503307,67.53785979192199,45.32229932510822,54.55842733333333,32.47922366666666,37.677117,2.952173666666667,5.1459763333333335,11.597806333333333
48,11,3,3.792229458819848,0.6996450155489057,20.585238291313775,69.10560344643349,48.897649547825154,53.976045,32.853622666666666,37.711609333333335,2.986262,5.131235666666666,10.998820666666667
64,11,3,3.7521223022947807,0.750540774388925,20.518555608991715,66.45602593333852,44.36402271517826,55.280529333333334,34.440752333333336,40.073153,3.1309203333333335,5.0934886666666666,9.968552333333333
16,12,3,3.8172129319955403,0.43341508732813083,20.48756172939365,59.04696898442183,40.721918821752624,63.313250333333336,34.04630766666667,39.24890666666667,2.8371049999999998,5.355905,18.569618666666667
24,12,3,3.8211439231563067,0.5754862268794158,20.795886437104027,63.287581550631955,41.87852835896465,58.88382766666666,32.31233233333333,37.880137,2.692762,5.680449333333333,15.184963333333334
36,12,3,3.7869676217502306,0.6672293889685195,20.525510661388534,63.603921311935586,44.30159946827586,58.975125999999996,35.38421066666667,40.93427366666666,2.948674333333333,5.179639666666667,12.726656333333333
48,12,3,3.7869676217502306,0.7108003108003108,20.56848339759807,63.32389685316639,44.78800092789401,58.73439366666667,36.110901000000005,41.785793,3.0094743333333334,5.231530666666667,11.575521
64,12,3,3.7617841380435735,0.7360480207657365,20.53665467604764,63.37949692703594,43.94914295339394,58.56584133333333,37.26978366666666,42.66211033333334,3.106040333333333,4.909918,10.857800333333335
