alpha,r,a,b,t_v,t_b,e_miss,l_hit,num_valid_k,is_unimodal,best_k,best_mu,first_valid_k,last_valid_k,invalid_reasons,enough_valid,valid_unimodal
0.5,0.3,0.1,0.02,80.0,0.5,1.0,1.0,10,True,4,1.6069923285285554,1,10,fanout,True,True
0.5,0.3,0.1,0.02,80.0,1.0,1.0,1.0,10,True,3,1.478825691463388,1,10,fanout,True,True
0.5,0.3,0.1,0.02,80.0,2.0,1.0,1.0,10,True,3,1.2926081814633799,1,10,fanout,True,True
0.5,0.3,0.1,0.05,10.0,0.5,1.0,1.0,5,True,2,1.269898268992282,1,5,fanout,True,True
0.5,0.3,0.1,0.05,10.0,1.0,1.0,1.0,5,True,2,1.1064495479885814,1,5,fanout,True,True
0.5,0.3,0.1,0.05,10.0,2.0,1.0,1.0,5,True,1,0.9136456174795777,1,5,fanout,True,True
0.5,0.3,0.1,0.05,20.0,0.5,1.0,1.0,6,True,3,1.3523072738320245,1,6,fanout,True,True
0.5,0.3,0.1,0.05,20.0,1.0,1.0,1.0,6,True,2,1.2020325422335136,1,6,fanout,True,True
0.5,0.3,0.1,0.05,20.0,2.0,1.0,1.0,6,True,1,0.9923054816556791,1,6,fanout,True,True
0.5,0.3,0.1,0.05,40.0,0.5,1.0,1.0,7,True,3,1.4395010514332751,1,7,fanout,True,True
0.5,0.3,0.1,0.05,40.0,1.0,1.0,1.0,7,True,2,1.2863808607741596,1,7,fanout,True,True
0.5,0.3,0.1,0.05,40.0,2.0,1.0,1.0,7,True,2,1.0851435359455377,1,7,fanout,True,True
0.5,0.3,0.1,0.05,80.0,0.5,1.0,1.0,9,True,4,1.5140399665155306,1,9,fanout,True,True
0.5,0.3,0.1,0.05,80.0,1.0,1.0,1.0,9,True,3,1.3762172547073592,1,9,fanout,True,True
0.5,0.3,0.1,0.05,80.0,2.0,1.0,1.0,9,True,2,1.1765821825736165,1,9,fanout,True,True
