run_name,model_name,dataset,shape_mode,k,f,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
async_qwen8b_k6_f2_n4_o64_off0,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,32.44889608241608,39.39522994108431,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,64.9186666066781,50.5322733252286,50.5322733252286,82
async_qwen8b_k6_f2_n4_o64_off4,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,30.723928627348286,39.065214516253114,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,64.77333196984013,50.645654702548185,50.645654702548185,82
async_qwen8b_k6_f2_n4_o64_off8,Qwen3-8B,gsm,async_ssd,6,2,,,1,0.0,4,64,31.26372426801201,39.63868736951662,3.2804878048780486,3.923076923076923,2.1666666666666665,0.6341463414634146,64.67657138752502,50.72142407213005,50.72142407213005,82
async_qwen8b_k6_f3_n4_o64_off0,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,30.96058424501835,41.066342115278694,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.87563446095986,50.565791489132096,50.565791489132096,82
async_qwen8b_k6_f3_n4_o64_off4,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,32.24501242812573,40.88540814718797,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.72463833122718,50.6837564404796,50.6837564404796,82
async_qwen8b_k6_f3_n4_o64_off8,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,4,64,31.59613885916516,41.20011640076227,3.2804878048780486,3.683333333333333,2.1818181818181817,0.7317073170731707,64.90388965779324,50.54377822615056,50.54377822615056,82
async_qwen8b_k8_f1_n4_o64_off0,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,29.441065283601944,37.013801530201356,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,65.1317401168247,54.044310710665634,54.044310710665634,75
async_qwen8b_k8_f1_n4_o64_off4,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,31.739490564512902,37.78512024966352,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,64.89495232701302,54.24150683187687,54.24150683187687,75
async_qwen8b_k8_f1_n4_o64_off8,Qwen3-8B,gsm,async_ssd,8,1,,,1,0.0,4,64,30.92728925250153,37.73587569965992,3.52,4.368421052631579,2.6486486486486487,0.5066666666666667,65.04013432189822,54.12042943482758,54.12042943482758,75
async_qwen8b_k8_f2_n4_o64_off0,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,31.57579035503486,39.420776580217854,3.52,4.355555555555555,2.2666666666666666,0.6,65.2074493157367,53.98156248921868,53.98156248921868,75
async_qwen8b_k8_f2_n4_o64_off4,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,32.49745826326087,39.060484139921584,3.52,4.355555555555555,2.2666666666666666,0.6,65.1744477947553,54.00889641727445,54.00889641727445,75
async_qwen8b_k8_f2_n4_o64_off8,Qwen3-8B,gsm,async_ssd,8,2,,,1,0.0,4,64,31.568547414746337,39.3130890207429,3.52,4.355555555555555,2.2666666666666666,0.6,65.07550898939371,54.09100988474335,54.09100988474335,75
async_qwen8b_k8_f4_n4_o64_off0,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,29.372649698250658,40.92930717842931,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,64.83262502898772,54.293652284265065,54.293652284265065,75
async_qwen8b_k8_f4_n4_o64_off4,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,30.481383674304922,40.9395340769206,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,64.84841514378786,54.28043217702596,54.28043217702596,75
async_qwen8b_k8_f4_n4_o64_off8,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,4,64,32.12330272489056,40.93037441720222,3.52,4.018867924528302,2.3181818181818183,0.7066666666666667,64.8752792738378,54.25795525506905,54.25795525506905,75
