n,alpha_spread,capacity,sum_kstar,rho,regime,all_clients_concave,greedy_obj,dp_obj,milp_obj,greedy_minus_dp,dp_minus_milp,greedy_is_optimal,alloc_matches_dp,greedy_alloc,dp_alloc
3,0.1,3,14,4.666666666666667,binding,True,5.137451335293549,5.137451335293549,5.137451335293549,0.0,0.0,True,True,1|1|1,1|1|1
3,0.1,4,14,3.5,binding,True,5.783600099134775,5.783600099134775,5.783600099134775,0.0,0.0,True,True,1|1|2,1|1|2
3,0.1,5,14,2.8,binding,True,6.277070936403367,6.277070936403367,6.277070936403367,0.0,0.0,True,True,1|1|3,1|1|3
3,0.1,6,14,2.3333333333333335,binding,True,6.770417343466786,6.770417343466786,6.770417343466786,0.0,0.0,True,True,1|2|3,1|2|3
3,0.1,7,14,2.0,binding,True,7.133307035760938,7.133307035760938,7.1333070357609385,0.0,-8.881784197001252e-16,True,True,2|2|3,2|2|3
3,0.1,8,14,1.75,binding,True,7.4791286286260945,7.4791286286260945,7.4791286286260945,0.0,0.0,True,True,2|2|4,2|2|4
3,0.1,9,14,1.5555555555555556,binding,True,7.801246613890262,7.801246613890262,7.801246613890262,0.0,0.0,True,True,2|3|4,2|3|4
3,0.1,10,14,1.4,binding,True,7.998824774717722,7.998824774717722,7.998824774717722,0.0,0.0,True,True,3|3|4,3|3|4
3,0.1,11,14,1.2727272727272727,binding,True,8.184027220985122,8.184027220985122,8.184027220985122,0.0,0.0,True,True,3|3|5,3|3|5
3,0.1,12,14,1.1666666666666667,binding,True,8.36677948655057,8.36677948655057,8.36677948655057,0.0,0.0,True,True,3|4|5,3|4|5
3,0.1,13,14,1.0769230769230769,binding,True,8.451034593552958,8.451034593552958,8.451034593552958,0.0,0.0,True,True,4|4|5,4|4|5
3,0.1,14,14,1.0,slack,True,8.505751494811054,8.505751494811054,8.505751494811056,0.0,-1.7763568394002505e-15,True,True,4|5|5,4|5|5
3,0.1,15,14,0.9333333333333333,slack,True,8.505751494811054,8.505751494811054,8.505751494811054,0.0,0.0,True,True,4|5|5,4|5|5
3,0.1,16,14,0.875,slack,True,8.505751494811054,8.505751494811054,8.505751494811054,0.0,0.0,True,True,4|5|5,4|5|5
3,0.1,17,14,0.8235294117647058,slack,True,8.505751494811054,8.505751494811054,8.505751494811054,0.0,0.0,True,True,4|5|5,4|5|5
3,0.1,18,14,0.7777777777777778,slack,True,8.505751494811054,8.505751494811054,8.505751494811054,0.0,0.0,True,True,4|5|5,4|5|5
3,0.18,3,15,5.0,binding,True,5.139162671532745,5.139162671532745,5.139162671532745,0.0,0.0,True,True,1|1|1,1|1|1
3,0.18,4,15,3.75,binding,True,5.92585760892554,5.92585760892554,5.92585760892554,0.0,0.0,True,True,1|1|2,1|1|2
3,0.18,5,15,3.0,binding,True,6.60059934070613,6.60059934070613,6.600599340706129,0.0,8.881784197001252e-16,True,True,1|1|3,1|1|3
3,0.18,6,15,2.5,binding,True,7.149225092011992,7.149225092011992,7.149225092011991,0.0,8.881784197001252e-16,True,True,1|1|4,1|1|4
3,0.18,7,15,2.142857142857143,binding,True,7.642571499075411,7.642571499075411,7.642571499075411,0.0,0.0,True,True,1|2|4,1|2|4
3,0.18,8,15,1.875,binding,True,8.030398859151875,8.030398859151875,8.030398859151875,0.0,0.0,True,True,1|2|5,1|2|5
3,0.18,9,15,1.6666666666666667,binding,True,8.352516844416042,8.352516844416042,8.35251684441604,0.0,1.7763568394002505e-15,True,True,1|3|5,1|3|5
