alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.75,0.6,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,4,1.9677939425553177,1.0791166128523517,1.4345187767897039,0.35540216393735213,0.1944682197766927,1.4239020436048027,2.066209133448274,1.972794307909477,2.127755798714186,18.0,1082.0,53.0,634.0,1,-1,True,True,
0.65,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.15862249199329,1.2528146810456344,1.6079000468250257,0.3550853657793913,0.19427903209478156,2.2251629457753332,1.5729998583929514,2.32875288467856,2.143772580743598,1082.0,18.0,375.0,54.0,-1,1,True,True,
0.8,0.65,0.6,0.6,2.628523,2.628523,0.07689,0.0038445,8,19.61302,0.09437,False,5,3,3,5,2.15862249199329,1.2528146810456344,1.6079000468250257,0.3550853657793913,0.19427903209478156,1.5729998583929514,2.2251629457753332,2.143772580743598,2.32875288467856,18.0,1082.0,54.0,375.0,1,-1,True,True,
0.6,0.7,0.6,0.6,2.628523,2.628523,0.005126,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.856295790363206,0.9918269927945573,1.345598542127704,0.3537715493331466,0.1934947580041486,2.046278458760951,1.317589901350582,2.0960680669193263,1.8322327433958219,811.0,18.0,475.0,53.0,-1,1,True,True,
0.7,0.6,0.6,0.6,2.628523,2.628523,0.07689,0.005126,8,19.61302,0.09437,False,5,3,3,4,1.856295790363206,0.9918269927945573,1.345598542127704,0.3537715493331466,0.1934947580041486,1.317589901350582,2.046278458760951,1.8322327433958219,2.0960680669193263,18.0,811.0,53.0,475.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.007689,0.07689,8,19.61302,0.09437,False,3,5,4,3,2.0434967884924595,1.1259875608343735,1.479205242527386,0.3532176816930126,0.19316428470331343,2.165359806043735,1.4239020436048027,2.224994123272216,1.972794307909477,541.0,18.0,317.0,53.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.07689,0.007689,8,19.61302,0.09437,False,5,3,3,4,2.0434967884924595,1.1259875608343735,1.479205242527386,0.3532176816930126,0.19316428470331343,1.4239020436048027,2.165359806043735,1.972794307909477,2.224994123272216,18.0,541.0,53.0,317.0,1,-1,True,True,
0.75,0.85,0.6,0.6,2.628523,2.628523,0.005126,0.07689,8,19.61302,0.09437,False,3,5,5,3,2.4295740934745886,1.5248698299534207,1.8777919886370007,0.35292215868358,0.19298799397804411,2.562588824555199,1.7929312007284866,2.7970384617236657,2.3378479423570604,811.0,18.0,281.0,54.0,-1,1,True,True,
0.85,0.75,0.6,0.6,2.628523,2.628523,0.07689,0.005126,8,19.61302,0.09437,False,5,3,3,5,2.4295740934745886,1.5248698299534207,1.8777919886370007,0.35292215868358,0.19298799397804411,1.7929312007284866,2.562588824555199,2.3378479423570604,2.7970384617236657,18.0,811.0,54.0,281.0,1,-1,True,True,
0.6,0.735,0.6,0.6,2.628523,2.628523,0.005126,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.9339411534922428,1.0441783479022793,1.3968001458532076,0.3526217979509283,0.19280884405682325,2.046278458760951,1.3884049781543946,2.0960680669193263,1.9284892131202882,811.0,18.0,475.0,53.0,-1,1,True,True,
0.735,0.6,0.6,0.6,2.628523,2.628523,0.07689,0.005126,8,19.61302,0.09437,False,5,3,3,4,1.9339411534922428,1.0441783479022793,1.3968001458532076,0.3526217979509283,0.19280884405682325,1.3884049781543946,2.046278458760951,1.9284892131202882,2.0960680669193263,18.0,811.0,53.0,475.0,1,-1,True,True,
0.6,0.75,0.6,0.6,2.628523,2.628523,0.005126,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.9677939425553177,1.0694237783902432,1.419514208745397,0.35009043035515375,0.1913000802392976,2.046278458760951,1.4239020436048027,2.0960680669193263,1.972794307909477,811.0,18.0,475.0,53.0,-1,1,True,True,
0.75,0.6,0.6,0.6,2.628523,2.628523,0.07689,0.005126,8,19.61302,0.09437,False,5,3,3,4,1.9677939425553177,1.0694237783902432,1.419514208745397,0.35009043035515375,0.1913000802392976,1.4239020436048027,2.046278458760951,1.972794307909477,2.0960680669193263,18.0,811.0,53.0,475.0,1,-1,True,True,
0.7,0.8,0.6,0.6,2.628523,2.628523,0.007689,0.07689,8,19.61302,0.09437,False,3,5,4,3,2.23483568808199,1.300244991969233,1.6479687844346098,0.3477237924653769,0.18989122601164732,2.333246062534121,1.5729998583929514,2.43258051194524,2.1361735151186734,541.0,18.0,317.0,53.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.07689,0.007689,8,19.61302,0.09437,False,5,3,3,4,2.23483568808199,1.300244991969233,1.6479687844346098,0.3477237924653769,0.18989122601164732,1.5729998583929514,2.333246062534121,2.1361735151186734,2.43258051194524,18.0,541.0,53.0,317.0,1,-1,True,True,
0.6,0.7,0.6,0.6,2.628523,2.628523,0.007689,0.07689,8,19.61302,0.09437,False,3,5,4,3,1.856295790363206,0.9751086460643198,1.3198152725329741,0.34470662646865435,0.1880975296482838,2.0123524495715994,1.317589901350582,2.0427153383591974,1.8322327433958219,541.0,18.0,317.0,53.0,-1,1,True,True,
